Q16538	Q9UPY8
P52569	Q16630
P39905	O14543
Q8WVY7	Q8WWL7
P54727	Q9BRU9
P46977	Q96JJ7
Q9H6R4	P06746
P61326	Q9Y3F4
P13591	Q9HC29
F8VP50	Q96IJ6
Q9UPN3	P49589
P78345	O75094
P08263	Q8NHU6
Q5XG99	A4D2P6
P47898	Q9Y6V0
P41181	Q9UM19
P08579	Q8TCU6
Q9H2A2	Q8NHU6
P55316	P31483
Q969M1	Q9GZV8
O75901	P06400
O75116	Q92908
O95926	Q86UN2
P35749	O95180
Q13651	Q9UKG1
Q9NUL7	Q9BZL1
P14324	Q96A70
Q9Y3B9	Q14721
P07900	Q9NWB7
Q15836	Q9H0F7
P10071	O00512
P12268	Q15233
Q9HAY6	P22087
F6RGN5	Q9NS82
Q9UH62	Q8N998
P78527	Q9H1H9
Q9H2M3	P14324
Q8NGH9	Q8NGF4
Q5T1Q4	Q5SZQ8
P28482	O60706
Q6GTS8	Q9UIQ6
Q07001	V9GYH0
P51793	P42263
Q9HCJ5	Q9NTK1
P16403	Q8N3U4
Q9Y5K8	Q9Y3E0
Q9Y3C6	Q8IWK6
Q99958	P20042
P35542	P03973
P19235	Q969H0
Q8IUH4	Q8NG48
Q96K12	Q7Z449
P12931	P43699
Q5VVX9	Q969Q1
Q8N9I9	Q969T4
P23528	Q1KLZ0
Q13263	Q14684
P04003	Q96GM5
P17405	P20073
E9KL44	P04233
P08238	Q9NWG3
Q08117	Q13643
P58753	Q9Y3B3
O75386	Q8IVI9
P63000	Q16512
Q8N6T7	Q96BE0
P62917	Q02878
Q6P5X5	Q93062
P53618	Q13085
Q92843	Q92934
P13805	P62195
P29972	Q15323
P29972	Q12933
O76015	Q96SQ5
P42224	Q8N9N8
Q14129	Q8IX15
Q15560	Q8N8K9
O00299	P37198
Q15306	Q16520
P0CL82	Q53SE7
P56537	Q96B36
Q9UBZ9	Q9UI95
P21246	Q14508
B2RNT7	Q8N6Y0
Q53GS7	Q9UMR2
Q14790	Q5SVL1
P33992	P33993
Q92794	Q9P2R6
Q8N6Y0	Q8N6Y0
Q9GZN1	Q9Y265
P15882	P36897
B3KNW7	Q9H836
P00738	Q7Z6E9
P14373	Q8IXS8
Q07002	Q9BRK4
P25205	Q96CS2
P62841	Q02878
Q8ND90	Q96CJ1
Q9UJX3	Q9UJX3
P18621	Q92731
P49888	P68104
P03372	Q9P2W1
P14868	P47897
P22102	P22234
P19971	P19971
Q9BV73	Q9HAU0
Q99816	Q9NS91
P22607	Q12789
P13569	P13569
Q02818	Q5JWF2
P52756	Q9Y244
H3BR10	Q96G97
P49815	Q99750
O75553	P14678
O75604	P0CG48
P02749	P02749
Q9Y6D5	Q9Y6D6
O75791	O95630
O00459	Q9NY15
O43909	P12931
O14810	P63027
Q99909	Q9H4E5
P04183	Q14194
P36406	Q13356
P08238	P53041
Q15041	Q9HC62
